Casos,Casos por dia,Óbitos por dia,mes,dia,anos,date,ano_mes
1,1,0,02,26,2020,2020-2-26,2020-2-1
0,0,0,02,27,2020,2020-2-27,2020-2-1
0,0,0,02,28,2020,2020-2-28,2020-2-1
2,1,0,02,29,2020,2020-2-29,2020-2-1
0,0,0,03,1,2020,2020-3-1,2020-3-1
0,0,0,03,2,2020,2020-3-2,2020-3-1
0,0,0,03,3,2020,2020-3-3,2020-3-1
3,1,0,03,4,2020,2020-3-4,2020-3-1
6,3,0,03,5,2020,2020-3-5,2020-3-1
10,4,0,03,6,2020,2020-3-6,2020-3-1
13,3,0,03,7,2020,2020-3-7,2020-3-1
16,3,0,03,8,2020,2020-3-8,2020-3-1
16,0,0,03,9,2020,2020-3-9,2020-3-1
19,3,0,03,10,2020,2020-3-10,2020-3-1
30,11,0,03,11,2020,2020-3-11,2020-3-1
46,16,0,03,12,2020,2020-3-12,2020-3-1
56,10,0,03,13,2020,2020-3-13,2020-3-1
65,9,0,03,14,2020,2020-3-14,2020-3-1
136,71,0,03,15,2020,2020-3-15,2020-3-1
152,16,0,03,16,2020,2020-3-16,2020-3-1
164,12,1,03,17,2020,2020-3-17,2020-3-1
240,76,3,03,18,2020,2020-3-18,2020-3-1
286,46,1,03,19,2020,2020-3-19,2020-3-1
396,110,4,03,20,2020,2020-3-20,2020-3-1
459,63,6,03,21,2020,2020-3-21,2020-3-1
631,172,7,03,22,2020,2020-3-22,2020-3-1
745,114,8,03,23,2020,2020-3-23,2020-3-1
810,65,10,03,24,2020,2020-3-24,2020-3-1
862,52,8,03,25,2020,2020-3-25,2020-3-1
1052,190,10,03,26,2020,2020-3-26,2020-3-1
1223,171,10,03,27,2020,2020-3-27,2020-3-1
1406,183,16,03,28,2020,2020-3-28,2020-3-1
1451,45,14,03,29,2020,2020-3-29,2020-3-1
1517,66,15,03,30,2020,2020-3-30,2020-3-1
2339,822,23,03,31,2020,2020-3-31,2020-3-1
2981,642,28,04,1,2020,2020-4-1,2020-4-1
3506,525,44,04,2,2020,2020-4-2,2020-4-1
4048,542,11,04,3,2020,2020-4-3,2020-4-1
4466,418,41,04,4,2020,2020-4-4,2020-4-1
4620,154,15,04,5,2020,2020-4-5,2020-4-1
4861,241,29,04,6,2020,2020-4-6,2020-4-1
5682,821,67,04,7,2020,2020-4-7,2020-4-1
6708,1026,57,04,8,2020,2020-4-8,2020-4-1
7480,772,68,04,9,2020,2020-4-9,2020-4-1
8216,736,44,04,10,2020,2020-4-10,2020-4-1
8419,203,20,04,11,2020,2020-4-11,2020-4-1
8755,336,28,04,12,2020,2020-4-12,2020-4-1
8895,140,20,04,13,2020,2020-4-13,2020-4-1
9371,476,87,04,14,2020,2020-4-14,2020-4-1
11043,1672,83,04,15,2020,2020-4-15,2020-4-1
11568,525,75,04,16,2020,2020-4-16,2020-4-1
12841,1273,75,04,17,2020,2020-4-17,2020-4-1
13894,1053,63,04,18,2020,2020-4-18,2020-4-1
14267,373,24,04,19,2020,2020-4-19,2020-4-1
14580,313,22,04,20,2020,2020-4-20,2020-4-1
15385,805,56,04,21,2020,2020-4-21,2020-4-1
15914,529,41,04,22,2020,2020-4-22,2020-4-1
16740,826,211,04,23,2020,2020-4-23,2020-4-1
17826,1086,167,04,24,2020,2020-4-24,2020-4-1
20004,2178,155,04,25,2020,2020-4-25,2020-4-1
20715,711,33,04,26,2020,2020-4-26,2020-4-1
21696,981,125,04,27,2020,2020-4-27,2020-4-1
24041,2345,224,04,28,2020,2020-4-28,2020-4-1
26158,2117,198,04,29,2020,2020-4-29,2020-4-1
28698,2540,128,04,30,2020,2020-4-30,2020-4-1
30374,1676,136,05,1,2020,2020-5-1,2020-5-1
31174,800,75,05,2,2020,2020-5-2,2020-5-1
31772,598,41,05,3,2020,2020-5-3,2020-5-1
32187,415,27,05,4,2020,2020-5-4,2020-5-1
34053,1866,197,05,5,2020,2020-5-5,2020-5-1
37853,3800,194,05,6,2020,2020-5-6,2020-5-1
39928,2075,161,05,7,2020,2020-5-7,2020-5-1
41830,1902,210,05,8,2020,2020-5-8,2020-5-1
44411,2581,192,05,9,2020,2020-5-9,2020-5-1
45444,1033,101,05,10,2020,2020-5-10,2020-5-1
46131,687,34,05,11,2020,2020-5-11,2020-5-1
47719,1588,206,05,12,2020,2020-5-12,2020-5-1
51097,3378,169,05,13,2020,2020-5-13,2020-5-1
54286,3189,197,05,14,2020,2020-5-14,2020-5-1
58378,4092,186,05,15,2020,2020-5-15,2020-5-1
61183,2805,187,05,16,2020,2020-5-16,2020-5-1
62345,1162,94,05,17,2020,2020-5-17,2020-5-1
63066,721,41,05,18,2020,2020-5-18,2020-5-1
65995,2929,324,05,19,2020,2020-5-19,2020-5-1
69859,3864,216,05,20,2020,2020-5-20,2020-5-1
73739,3880,195,05,21,2020,2020-5-21,2020-5-1
76871,3132,215,05,22,2020,2020-5-22,2020-5-1
80558,3687,272,05,23,2020,2020-5-23,2020-5-1
82161,1603,118,05,24,2020,2020-5-24,2020-5-1
83625,1464,57,05,25,2020,2020-5-25,2020-5-1
86017,2392,203,05,26,2020,2020-5-26,2020-5-1
89483,3466,289,05,27,2020,2020-5-27,2020-5-1
95865,6382,268,05,28,2020,2020-5-28,2020-5-1
101556,5691,295,05,29,2020,2020-5-29,2020-5-1
107142,5586,257,05,30,2020,2020-5-30,2020-5-1
109698,2556,83,05,31,2020,2020-5-31,2020-5-1
111296,1598,52,06,1,2020,2020-6-1,2020-6-1
118295,6999,327,06,2,2020,2020-6-2,2020-6-1
123483,5188,282,06,3,2020,2020-6-3,2020-6-1
129200,5717,285,06,4,2020,2020-6-4,2020-6-1
134565,5365,281,06,5,2020,2020-6-5,2020-6-1
140549,5984,216,06,6,2020,2020-6-6,2020-6-1
143073,2524,87,06,7,2020,2020-6-7,2020-6-1
144593,1520,43,06,8,2020,2020-6-8,2020-6-1
150138,5545,334,06,9,2020,2020-6-9,2020-6-1
156316,6178,340,06,10,2020,2020-6-10,2020-6-1
162520,6204,283,06,11,2020,2020-6-11,2020-6-1
167900,5380,223,06,12,2020,2020-6-12,2020-6-1
172875,4975,213,06,13,2020,2020-6-13,2020-6-1
178202,5327,113,06,14,2020,2020-6-14,2020-6-1
181460,3258,73,06,15,2020,2020-6-15,2020-6-1
190285,8825,365,06,16,2020,2020-6-16,2020-6-1
191517,1232,389,06,17,2020,2020-6-17,2020-6-1
192628,1111,325,06,18,2020,2020-6-18,2020-6-1
211658,19030,386,06,19,2020,2020-6-19,2020-6-1
215793,4135,262,06,20,2020,2020-6-20,2020-6-1
219185,3392,94,06,21,2020,2020-6-21,2020-6-1
221973,2788,46,06,22,2020,2020-6-22,2020-6-1
229475,7502,434,06,23,2020,2020-6-23,2020-6-1
238822,9347,284,06,24,2020,2020-6-24,2020-6-1
248587,9765,407,06,25,2020,2020-6-25,2020-6-1
258508,9921,207,06,26,2020,2020-6-26,2020-6-1
265581,7073,297,06,27,2020,2020-6-27,2020-6-1
271737,6156,75,06,28,2020,2020-6-28,2020-6-1
275145,3408,60,06,29,2020,2020-6-29,2020-6-1
281380,6235,365,06,30,2020,2020-6-30,2020-6-1
289935,8555,267,07,1,2020,2020-7-1,2020-7-1
302179,12244,321,07,2,2020,2020-7-2,2020-7-1
310517,8338,343,07,3,2020,2020-7-3,2020-7-1
312530,2013,302,07,4,2020,2020-7-4,2020-7-1
320179,7649,82,07,5,2020,2020-7-5,2020-7-1
323070,2891,56,07,6,2020,2020-7-6,2020-7-1
332708,9638,341,07,7,2020,2020-7-7,2020-7-1
341365,8657,313,07,8,2020,2020-7-8,2020-7-1
349715,8350,330,07,9,2020,2020-7-9,2020-7-1
359110,9395,324,07,10,2020,2020-7-10,2020-7-1
366890,7780,260,07,11,2020,2020-7-11,2020-7-1
371997,5107,146,07,12,2020,2020-7-12,2020-7-1
374607,2610,59,07,13,2020,2020-7-13,2020-7-1
386607,12000,417,07,14,2020,2020-7-14,2020-7-1
393176,6569,316,07,15,2020,2020-7-15,2020-7-1
402048,8872,398,07,16,2020,2020-7-16,2020-7-1
407415,5367,339,07,17,2020,2020-7-17,2020-7-1
412027,4612,270,07,18,2020,2020-7-18,2020-7-1
415049,3022,85,07,19,2020,2020-7-19,2020-7-1
416434,1385,56,07,20,2020,2020-7-20,2020-7-1
422669,6235,383,07,21,2020,2020-7-21,2020-7-1
439446,16777,361,07,22,2020,2020-7-22,2020-7-1
452007,12561,362,07,23,2020,2020-7-23,2020-7-1
463218,11211,312,07,24,2020,2020-7-24,2020-7-1
479481,16263,311,07,25,2020,2020-7-25,2020-7-1
483982,4501,89,07,26,2020,2020-7-26,2020-7-1
487654,3672,70,07,27,2020,2020-7-27,2020-7-1
500301,12647,383,07,28,2020,2020-7-28,2020-7-1
514197,13896,330,07,29,2020,2020-7-29,2020-7-1
529006,14809,321,07,30,2020,2020-7-30,2020-7-1
542304,13298,287,07,31,2020,2020-7-31,2020-7-1
552318,10014,239,08,1,2020,2020-8-1,2020-8-1
558685,6367,81,08,2,2020,2020-8-2,2020-8-1
560218,1533,48,08,3,2020,2020-8-3,2020-8-1
575589,15371,337,08,4,2020,2020-8-4,2020-8-1
585265,9676,407,08,5,2020,2020-8-5,2020-8-1
598670,13405,339,08,6,2020,2020-8-6,2020-8-1
608379,9709,287,08,7,2020,2020-8-7,2020-8-1
621731,13352,281,08,8,2020,2020-8-8,2020-8-1
627126,5395,98,08,9,2020,2020-8-9,2020-8-1
628415,1289,37,08,10,2020,2020-8-10,2020-8-1
639562,11147,420,08,11,2020,2020-8-11,2020-8-1
655181,15619,298,08,12,2020,2020-8-12,2020-8-1
674455,19274,455,08,13,2020,2020-8-13,2020-8-1
686122,11667,289,08,14,2020,2020-8-14,2020-8-1
697530,11408,167,08,15,2020,2020-8-15,2020-8-1
699493,1963,72,08,16,2020,2020-8-16,2020-8-1
702665,3172,47,08,17,2020,2020-8-17,2020-8-1
711530,8865,416,08,18,2020,2020-8-18,2020-8-1
721377,9847,276,08,19,2020,2020-8-19,2020-8-1
730828,9451,314,08,20,2020,2020-8-20,2020-8-1
735960,5132,250,08,21,2020,2020-8-21,2020-8-1
749244,13284,237,08,22,2020,2020-8-22,2020-8-1
754129,4885,75,08,23,2020,2020-8-23,2020-8-1
756480,2351,38,08,24,2020,2020-8-24,2020-8-1
765670,9190,407,08,25,2020,2020-8-25,2020-8-1
776135,10465,282,08,26,2020,2020-8-26,2020-8-1
784453,8318,221,08,27,2020,2020-8-27,2020-8-1
796209,11756,279,08,28,2020,2020-8-28,2020-8-1
801422,5213,250,08,29,2020,2020-8-29,2020-8-1
803404,1982,34,08,30,2020,2020-8-30,2020-8-1
804342,938,36,08,31,2020,2020-8-31,2020-8-1
814375,10033,361,09,1,2020,2020-9-1,2020-9-1
826331,11956,298,09,2,2020,2020-9-2,2020-9-1
837978,11647,232,09,3,2020,2020-9-3,2020-9-1
845016,7038,186,09,4,2020,2020-9-4,2020-9-1
853085,8069,222,09,5,2020,2020-9-5,2020-9-1
855722,2637,40,09,6,2020,2020-9-6,2020-9-1
857330,1608,24,09,7,2020,2020-9-7,2020-9-1
858783,1453,53,09,8,2020,2020-9-8,2020-9-1
866576,7793,391,09,9,2020,2020-9-9,2020-9-1
874754,8178,283,09,10,2020,2020-9-10,2020-9-1
882809,8055,234,09,11,2020,2020-9-11,2020-9-1
890690,7881,229,09,12,2020,2020-9-12,2020-9-1
892257,1567,39,09,13,2020,2020-9-13,2020-9-1
893349,1092,36,09,14,2020,2020-9-14,2020-9-1
901271,7922,321,09,15,2020,2020-9-15,2020-9-1
909428,8157,290,09,16,2020,2020-9-16,2020-9-1
916821,7393,219,09,17,2020,2020-9-17,2020-9-1
924532,7711,206,09,18,2020,2020-9-18,2020-9-1
931673,7141,249,09,19,2020,2020-9-19,2020-9-1
935300,3627,25,09,20,2020,2020-9-20,2020-9-1
937332,2032,32,09,21,2020,2020-9-21,2020-9-1
945422,8090,282,09,22,2020,2020-9-22,2020-9-1
951973,6551,226,09,23,2020,2020-9-23,2020-9-1
958240,6267,185,09,24,2020,2020-9-24,2020-9-1
964921,6681,200,09,25,2020,2020-9-25,2020-9-1
970888,5967,186,09,26,2020,2020-9-26,2020-9-1
972237,1349,45,09,27,2020,2020-9-27,2020-9-1
973142,905,17,09,28,2020,2020-9-28,2020-9-1
979519,6377,266,09,29,2020,2020-9-29,2020-9-1
985628,6109,231,09,30,2020,2020-9-30,2020-9-1
991725,6097,182,10,1,2020,2020-10-1,2020-10-1
997333,5608,152,10,2,2020,2020-10-2,2020-10-1
1003429,6096,180,10,3,2020,2020-10-3,2020-10-1
1003902,473,42,10,4,2020,2020-10-4,2020-10-1
1004579,677,42,10,5,2020,2020-10-5,2020-10-1
1010839,6260,270,10,6,2020,2020-10-6,2020-10-1
1016755,5916,179,10,7,2020,2020-10-7,2020-10-1
1022404,5649,215,10,8,2020,2020-10-8,2020-10-1
1028190,5786,184,10,9,2020,2020-10-9,2020-10-1
1034816,6626,155,10,10,2020,2020-10-10,2020-10-1
1037660,2844,33,10,11,2020,2020-10-11,2020-10-1
1038344,684,23,10,12,2020,2020-10-12,2020-10-1
1039029,685,35,10,13,2020,2020-10-13,2020-10-1
1045060,6031,227,10,14,2020,2020-10-14,2020-10-1
1051613,6553,149,10,15,2020,2020-10-15,2020-10-1
1057240,5627,180,10,16,2020,2020-10-16,2020-10-1
1062634,5394,122,10,17,2020,2020-10-17,2020-10-1
1063602,968,28,10,18,2020,2020-10-18,2020-10-1
1064039,437,15,10,19,2020,2020-10-19,2020-10-1
1068962,4923,211,10,20,2020,2020-10-20,2020-10-1
1073261,4299,125,10,21,2020,2020-10-21,2020-10-1
1076939,3678,111,10,22,2020,2020-10-22,2020-10-1
1083641,6702,126,10,23,2020,2020-10-23,2020-10-1
1089255,5614,118,10,24,2020,2020-10-24,2020-10-1
1091980,2725,21,10,25,2020,2020-10-25,2020-10-1
1092843,863,6,10,26,2020,2020-10-26,2020-10-1
1098207,5364,132,10,27,2020,2020-10-27,2020-10-1
1103582,5375,122,10,28,2020,2020-10-28,2020-10-1
1108860,5278,112,10,29,2020,2020-10-29,2020-10-1
1113788,4928,136,10,30,2020,2020-10-30,2020-10-1
1116127,2339,56,10,31,2020,2020-10-31,2020-10-1
1117147,1020,20,11,1,2020,2020-11-1,2020-11-1
1117795,648,15,11,2,2020,2020-11-2,2020-11-1
1118544,749,18,11,3,2020,2020-11-3,2020-11-1
1123299,4755,185,11,4,2020,2020-11-4,2020-11-1
1125936,2637,168,11,5,2020,2020-11-5,2020-11-1
1125936,0,0,11,6,2020,2020-11-6,2020-11-1
1125936,0,0,11,7,2020,2020-11-7,2020-11-1
1125936,0,0,11,8,2020,2020-11-8,2020-11-1
1125936,0,0,11,9,2020,2020-11-9,2020-11-1
1147451,21515,0,11,10,2020,2020-11-10,2020-11-1
1150872,3421,190,11,11,2020,2020-11-11,2020-11-1
1156652,5780,295,11,12,2020,2020-11-12,2020-11-1
1162782,6130,0,11,13,2020,2020-11-13,2020-11-1
1167422,4640,347,11,14,2020,2020-11-14,2020-11-1
1168640,1218,15,11,15,2020,2020-11-15,2020-11-1
1169377,737,12,11,16,2020,2020-11-16,2020-11-1
1178075,8698,173,11,17,2020,2020-11-17,2020-11-1
1184496,6421,178,11,18,2020,2020-11-18,2020-11-1
1191290,6794,147,11,19,2020,2020-11-19,2020-11-1
1200348,9058,105,11,20,2020,2020-11-20,2020-11-1
1205435,5087,77,11,21,2020,2020-11-21,2020-11-1
1209588,4153,11,11,22,2020,2020-11-22,2020-11-1
1210625,1037,9,11,23,2020,2020-11-23,2020-11-1
1215844,5219,179,11,24,2020,2020-11-24,2020-11-1
1224744,8900,146,11,25,2020,2020-11-25,2020-11-1
1229267,4523,172,11,26,2020,2020-11-26,2020-11-1
1233587,4320,129,11,27,2020,2020-11-27,2020-11-1
1238094,4507,146,11,28,2020,2020-11-28,2020-11-1
1240473,2379,28,11,29,2020,2020-11-29,2020-11-1
1241653,1180,19,11,30,2020,2020-11-30,2020-11-1
1250590,8937,195,12,1,2020,2020-12-1,2020-12-1
1259704,9114,166,12,2,2020,2020-12-2,2020-12-1
1267912,8208,181,12,3,2020,2020-12-3,2020-12-1
1276149,8237,151,12,4,2020,2020-12-4,2020-12-1
1285087,8938,181,12,5,2020,2020-12-5,2020-12-1
1287762,2675,46,12,6,2020,2020-12-6,2020-12-1
1288878,1116,25,12,7,2020,2020-12-7,2020-12-1
1296801,7923,242,12,8,2020,2020-12-8,2020-12-1
1306585,9784,179,12,9,2020,2020-12-9,2020-12-1
1316371,9786,200,12,10,2020,2020-12-10,2020-12-1
1325162,8791,141,12,11,2020,2020-12-11,2020-12-1
1333763,8601,169,12,12,2020,2020-12-12,2020-12-1
1334703,940,47,12,13,2020,2020-12-13,2020-12-1
1337016,2313,32,12,14,2020,2020-12-14,2020-12-1
1341428,4412,232,12,15,2020,2020-12-15,2020-12-1
1341428,0,0,12,16,2020,2020-12-16,2020-12-1
1361731,20303,399,12,17,2020,2020-12-17,2020-12-1
1371653,9922,197,12,18,2020,2020-12-18,2020-12-1
1384100,12447,151,12,19,2020,2020-12-19,2020-12-1
1384100,0,0,12,20,2020,2020-12-20,2020-12-1
1388043,3943,107,12,21,2020,2020-12-21,2020-12-1
1398757,10714,259,12,22,2020,2020-12-22,2020-12-1
1409140,10383,181,12,23,2020,2020-12-23,2020-12-1
1418491,9351,182,12,24,2020,2020-12-24,2020-12-1
1422087,3596,37,12,25,2020,2020-12-25,2020-12-1
1423340,1253,13,12,26,2020,2020-12-26,2020-12-1
1426176,2836,55,12,27,2020,2020-12-27,2020-12-1
1427752,1576,39,12,28,2020,2020-12-28,2020-12-1
1440229,12477,293,12,29,2020,2020-12-29,2020-12-1
1452078,11849,282,12,30,2020,2020-12-30,2020-12-1
1462297,10219,240,12,31,2020,2020-12-31,2020-12-1
1466191,3894,58,01,1,2021,2021-1-1,2021-1-1
1467953,1762,33,01,2,2021,2021-1-2,2021-1-1
1471422,3469,37,01,3,2021,2021-1-3,2021-1-1
1473670,2248,43,01,4,2021,2021-1-4,2021-1-1
1486551,12881,334,01,5,2021,2021-1-5,2021-1-1
1501085,14534,289,01,6,2021,2021-1-6,2021-1-1
1515158,14073,257,01,7,2021,2021-1-7,2021-1-1
1528952,13794,261,01,8,2021,2021-1-8,2021-1-1
1540513,11561,269,01,9,2021,2021-1-9,2021-1-1
1546132,5619,53,01,10,2021,2021-1-10,2021-1-1
1549142,3010,28,01,11,2021,2021-1-11,2021-1-1
1561844,12702,283,01,12,2021,2021-1-12,2021-1-1
1577119,15275,323,01,13,2021,2021-1-13,2021-1-1
1590829,13710,304,01,14,2021,2021-1-14,2021-1-1
1605845,15016,311,01,15,2021,2021-1-15,2021-1-1
1619619,13774,285,01,16,2021,2021-1-16,2021-1-1
1625339,5720,60,01,17,2021,2021-1-17,2021-1-1
1628272,2933,42,01,18,2021,2021-1-18,2021-1-1
1644225,15953,331,01,19,2021,2021-1-19,2021-1-1
1658636,14411,334,01,20,2021,2021-1-20,2021-1-1
1670754,12118,286,01,21,2021,2021-1-21,2021-1-1
1679759,9005,254,01,22,2021,2021-1-22,2021-1-1
1694355,14596,231,01,23,2021,2021-1-23,2021-1-1
1699427,5072,79,01,24,2021,2021-1-24,2021-1-1
1702294,2867,54,01,25,2021,2021-1-25,2021-1-1
1715253,12959,282,01,26,2021,2021-1-26,2021-1-1
1731294,16041,332,01,27,2021,2021-1-27,2021-1-1
1746070,14776,311,01,28,2021,2021-1-28,2021-1-1
1759957,13887,241,01,29,2021,2021-1-29,2021-1-1
1773024,13067,232,01,30,2021,2021-1-30,2021-1-1
1777368,4344,80,01,31,2021,2021-1-31,2021-1-1
1779722,2354,56,02,1,2021,2021-2-1,2021-2-1
1794019,14297,365,02,2,2021,2021-2-2,2021-2-1
1807009,12990,249,02,3,2021,2021-2-3,2021-2-1
1820941,13932,293,02,4,2021,2021-2-4,2021-2-1
1833163,12222,327,02,5,2021,2021-2-5,2021-2-1
1845086,11923,221,02,6,2021,2021-2-6,2021-2-1
1849334,4248,69,02,7,2021,2021-2-7,2021-2-1
1851776,2442,49,02,8,2021,2021-2-8,2021-2-1
1864977,13201,424,02,9,2021,2021-2-9,2021-2-1
1878802,13825,332,02,10,2021,2021-2-10,2021-2-1
1889969,11167,323,02,11,2021,2021-2-11,2021-2-1
1901574,11605,229,02,12,2021,2021-2-12,2021-2-1
1911411,9837,220,02,13,2021,2021-2-13,2021-2-1
1913598,2187,75,02,14,2021,2021-2-14,2021-2-1
1915914,2316,38,02,15,2021,2021-2-15,2021-2-1
1927410,11496,398,02,16,2021,2021-2-16,2021-2-1
1938712,11302,258,02,17,2021,2021-2-17,2021-2-1
1949459,10747,280,02,18,2021,2021-2-18,2021-2-1
1960564,11105,259,02,19,2021,2021-2-19,2021-2-1
1971423,10859,244,02,20,2021,2021-2-20,2021-2-1
1975927,4504,56,02,21,2021,2021-2-21,2021-2-1
1978477,2550,43,02,22,2021,2021-2-22,2021-2-1
1990554,12077,357,02,23,2021,2021-2-23,2021-2-1
2002640,12086,329,02,24,2021,2021-2-24,2021-2-1
2014529,11889,345,02,25,2021,2021-2-25,2021-2-1
2026125,11596,256,02,26,2021,2021-2-26,2021-2-1
2037267,11142,299,02,27,2021,2021-2-27,2021-2-1
2041628,4361,65,02,28,2021,2021-2-28,2021-2-1
2044699,3071,53,03,1,2021,2021-3-1,2021-3-1
2054867,10168,468,03,2,2021,2021-3-2,2021-3-1
2068616,13749,367,03,3,2021,2021-3-3,2021-3-1
2080852,12236,313,03,4,2021,2021-3-4,2021-3-1
2093924,13072,370,03,5,2021,2021-3-5,2021-3-1
2107687,13763,353,03,6,2021,2021-3-6,2021-3-1
2113738,6051,46,03,7,2021,2021-3-7,2021-3-1
2117962,4224,121,03,8,2021,2021-3-8,2021-3-1
2134020,16058,517,03,9,2021,2021-3-9,2021-3-1
2149561,15541,469,03,10,2021,2021-3-10,2021-3-1
2164066,14505,440,03,11,2021,2021-3-11,2021-3-1
2179786,15720,521,03,12,2021,2021-3-12,2021-3-1
2195130,15344,434,03,13,2021,2021-3-13,2021-3-1
2202983,7853,158,03,14,2021,2021-3-14,2021-3-1
2208242,5259,100,03,15,2021,2021-3-15,2021-3-1
2225926,17684,679,03,16,2021,2021-3-16,2021-3-1
2243868,17942,617,03,17,2021,2021-3-17,2021-3-1
2261360,17492,659,03,18,2021,2021-3-18,2021-3-1
2280033,18673,620,03,19,2021,2021-3-19,2021-3-1
2298061,18028,616,03,20,2021,2021-3-20,2021-3-1
2306326,8265,144,03,21,2021,2021-3-21,2021-3-1
2311101,4775,44,03,22,2021,2021-3-22,2021-3-1
2332043,20942,1021,03,23,2021,2021-3-23,2021-3-1
2352438,20395,281,03,24,2021,2021-3-24,2021-3-1
2370885,18447,599,03,25,2021,2021-3-25,2021-3-1
2392374,21489,1193,03,26,2021,2021-3-26,2021-3-1
2410498,18124,1051,03,27,2021,2021-3-27,2021-3-1
2420100,9602,244,03,28,2021,2021-3-28,2021-3-1
2425320,5220,292,03,29,2021,2021-3-29,2021-3-1
2446680,21360,1209,03,30,2021,2021-3-30,2021-3-1
2469849,23169,1160,03,31,2021,2021-3-31,2021-3-1
2496416,26567,1082,04,1,2021,2021-4-1,2021-4-1
2513178,16762,818,04,2,2021,2021-4-2,2021-4-1
2520204,7026,198,04,3,2021,2021-4-3,2021-4-1
2527400,7196,270,04,4,2021,2021-4-4,2021-4-1
2532047,4647,145,04,5,2021,2021-4-5,2021-4-1
2554841,22794,1389,04,6,2021,2021-4-6,2021-4-1
2576362,21521,889,04,7,2021,2021-4-7,2021-4-1
2597366,21004,1299,04,8,2021,2021-4-8,2021-4-1
2618067,20701,1008,04,9,2021,2021-4-9,2021-4-1
